StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
1: Content Extraction,0.0011 Min,0.303708 MB,0.623382 MB,48.4%
1: Generate XML,0.0032 Min,0.862953 MB,1.929325 MB,48.4%
1: Submit FHIR Msg,0.0409 Min,0.194712 MB,0.902584 MB,48.4%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1683 Min,5.656419 MB,10.411745 MB,48.6%
Split Json,0.0099 Min,0.108682 MB,9.195068 MB,48.5%
0: Heading Extraction,1.199 Min,2.038058 MB,4.547564 MB,48.5%
0: Document Annotation,0.0162 Min,0.02023 MB,0.200448 MB,48.5%
0: Content Extraction,0.0012 Min,0.822636 MB,4.068981 MB,48.5%
0: Generate XML,0.0054 Min,2.792945 MB,5.343882 MB,48.5%
0: Submit FHIR Msg,0.0508 Min,0.206292 MB,2.132625 MB,48.5%
0: Update/Add List Bundle,0.0493 Min,0.236102 MB,0.385341 MB,48.6%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1436 Min,5.897887 MB,10.506855 MB,49.3%
Split Json,0.0072 Min,0.114913 MB,9.1857 MB,49.2%
0: Heading Extraction,0.9972 Min,2.204726 MB,4.400755 MB,49.3%
0: Document Annotation,0.03 Min,0.034166 MB,0.226838 MB,49.2%
0: Content Extraction,0.0013 Min,0.825314 MB,4.071282 MB,49.2%
0: Generate XML,0.0073 Min,2.884817 MB,5.436258 MB,49.3%
0: Submit FHIR Msg,0.051 Min,0.209862 MB,2.132731 MB,49.2%
0: Update/Add List Bundle,0.0299 Min,0.225301 MB,0.342488 MB,49.2%
1: Heading Extraction,0.3007 Min,0.621133 MB,3.052585 MB,49.2%
1: Document Annotation,0.0003 Min,0.156253 MB,0.167132 MB,49.2%
1: Content Extraction,0.0008 Min,0.303332 MB,0.621085 MB,49.2%
1: Generate XML,0.0024 Min,0.840846 MB,1.907218 MB,49.2%
1: Submit FHIR Msg,0.0326 Min,0.053322 MB,0.907228 MB,49.2%
1: Update/Add List Bundle,0.0373 Min,0.21739 MB,0.246831 MB,49.2%
2: Heading Extraction,0.5122 Min,0.832903 MB,3.146133 MB,49.1%
2: Document Annotation,0.0003 Min,0.1583 MB,0.160617 MB,49.1%
2: Content Extraction,0.0039 Min,0.223144 MB,0.973235 MB,49.1%
2: Generate XML,0.0041 Min,0.954388 MB,1.913081 MB,49.1%
2: Submit FHIR Msg,0.023 Min,0.066136 MB,0.273486 MB,49.1%
2: Update/Add List Bundle,0.0404 Min,0.218524 MB,0.250131 MB,49.1%
3: Heading Extraction,2.1533 Min,0.728459 MB,3.256053 MB,49.1%
3: Document Annotation,0.0005 Min,0.009009 MB,0.157296 MB,49.1%
3: Content Extraction,0.0021 Min,0.401513 MB,1.09497 MB,49.2%
3: Generate XML,0.0058 Min,1.586548 MB,2.940022 MB,49.2%
3: Submit FHIR Msg,0.0411 Min,0.199416 MB,1.00265 MB,49.1%
3: Update/Add List Bundle,0.0475 Min,0.231344 MB,0.290646 MB,49.1%
3: Completed,0.0001 Min,0.149322 MB,0.151667 MB,49.1%
Final Metrics,4.476 Min,0.0 MB,10.506855 MB,49.3%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.131 Min,5.354347 MB,9.963955 MB,49.2%
Split Json,0.0068 Min,0.253157 MB,9.326096 MB,49.1%
0: Heading Extraction,1.0334 Min,2.142168 MB,4.541027 MB,49.2%
0: Document Annotation,0.0154 Min,0.160944 MB,0.195192 MB,49.2%
0: Content Extraction,0.0014 Min,0.817329 MB,4.068327 MB,49.2%
0: Generate XML,0.0058 Min,2.757464 MB,5.308401 MB,49.2%
0: Submit FHIR Msg,0.0457 Min,0.20962 MB,2.134953 MB,49.2%
0: Update/Add List Bundle,0.0393 Min,0.232934 MB,0.314332 MB,49.2%
1: Heading Extraction,0.2739 Min,0.619199 MB,3.055136 MB,49.2%
1: Document Annotation,0.0003 Min,0.008579 MB,0.166882 MB,49.2%
1: Content Extraction,0.0009 Min,0.155898 MB,0.621531 MB,49.1%
1: Generate XML,0.0024 Min,0.83789 MB,1.90919 MB,49.2%
1: Submit FHIR Msg,0.0315 Min,0.202066 MB,0.826659 MB,49.2%
1: Update/Add List Bundle,0.0515 Min,0.215256 MB,0.244333 MB,49.2%
2: Heading Extraction,0.407 Min,0.776814 MB,3.152841 MB,49.3%
2: Document Annotation,0.0005 Min,0.011474 MB,0.159665 MB,49.3%
2: Content Extraction,0.006 Min,0.321305 MB,0.972546 MB,49.3%
2: Generate XML,0.0037 Min,0.985819 MB,1.937904 MB,49.3%
2: Submit FHIR Msg,0.0244 Min,0.210064 MB,0.269414 MB,49.3%
2: Update/Add List Bundle,0.0425 Min,0.212889 MB,0.242979 MB,49.2%
3: Heading Extraction,2.5457 Min,0.625356 MB,3.258061 MB,49.1%
3: Document Annotation,0.0004 Min,0.155491 MB,0.166306 MB,49.1%
3: Content Extraction,0.0017 Min,0.255114 MB,1.094791 MB,49.1%
3: Generate XML,0.0047 Min,1.583396 MB,2.948261 MB,49.1%
3: Submit FHIR Msg,0.0383 Min,0.19724 MB,1.146418 MB,49.2%
3: Update/Add List Bundle,0.0435 Min,0.218346 MB,0.252351 MB,49.2%
3: Completed,0.0 Min,0.149322 MB,0.151563 MB,49.2%
Final Metrics,4.7577 Min,0.0 MB,9.963955 MB,49.3%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.121 Min,5.829581 MB,10.439565 MB,48.8%
